,podcasts,numbiased,numunbiased
0,Pod Save America,148,331
1,Pod Save the UK,0,4
2,The Run-Up,13,45
3,Candace Owens,198,491
4,Let's Find Common Ground,45,609
5,Louder with Crowder,451,523
6,The Bulwark Podcast,275,305
7,Bannon`s War Room,116,86
8,Breaking Points with Krystal and Saagar,131,170
9,Deadline: White House,3,17
10,Prosecuting Donald Trump,2,9
11,Pod Save the World,169,405
12,Verdict with Ted Cruz,290,304
13,Stay Tuned with Preet,68,1005
14,The Clay Travis and Buck Sexton Show,265,562
15,The Victor Davis Hanson Show,67,184
16,Countdown with Keith Olbermann,1631,1016
17,The Beat with Ari Melber,64,535
18,Political Gabfest,180,713
19,X22 Report,0,0
20,All In with Chris Hayes,24,33
21,Future of Freedom,6,106
22,Ruthless,123,213
23,The MeidasTouch Podcast,268,585
24,Mea Culpa,304,571
25,The Lincoln Project,136,383
26,Fast Politics with Molly Jong-Fast,94,180
27,Tim Pool Daily Show,478,409
28,The Five,0,4
29,John Solomon Reports,264,692
30,NBC Nightly News with Lester Holt,3,127
31,The Michael Steele Podcast,35,338
32,The Wright Report,8,54
33,Politics War Room with James Carville & Al Hunt,0,0
34,The 11th Hour with Stephanie Ruhle,0,0
35,The Warning with Steve Schmidt,0,8
36,The Al Franken Podcast,104,209
37,Hacks On Tap,184,403
38,Human Events Daily with Jack Posobiec,326,497
39,The Remnant with Jonah Goldberg,627,581
40,The Next Level,52,102
41,The Political Scene | The New Yorker,201,873
42,Stay Free with Russell Brand,20,168
43,System Update with Glenn Greenwald,16,12
44,Hodgetwins,57,150
45,Advisory Opinions,248,710
46,#SistersInLaw,43,386
47,FiveThirtyEight Politics,18,429
48,The ReidOut with Joy Reid,15,49
49,The Great America Show with Lou Dobbs,616,1047
50,The David Pakman Show,855,906
51,Jack,92,457
52,The PoliticsGirl Podcast,161,485
53,"""YOUR WELCOME"" with Michael Malice",133,566
54,Cleanup on Aisle 45 with AG & Pete Strzok,0,0
55,No Lie with Brian Tyler Cohen,65,105
56,Know Your Enemy,48,110
57,SGT Report’s The Propaganda Antidote,108,203
58,The Dispatch Podcast,280,737
59,Brian Kilmeade Show,9,201
60,Talking Feds,93,246
61,War on the Rocks,163,998
