,Podcast,Hosts,politician,tv_personality,print_personality,radio_personality,academic,political_professional,other,religious_personality
0,Pod Save America,"['Jon Favreau', 'Jon Lovett', 'Dan Pfeiffer', 'Tommy Vietor']",0,0,0,0,0,0,4,0
1,Pod Save the UK,"['Nish Kumar', 'Coco Khan']",0,0,1,0,0,0,1,0
2,The Run-Up,['Astead W. Herndon'],0,0,1,0,0,0,0,0
3,Candace Owens,['Candace Owens'],0,0,0,0,0,0,1,0
4,Let's Find Common Ground,"['Richard Davies', 'Ashley Milne-Tyte']",0,0,0,0,0,0,2,0
5,Louder with Crowder,"['Steven Crowder', 'Gerald Morgan Jr.', 'Garrett Morrison', 'Jared Monroe', 'Bill Richmond', 'Audio Wade', 'Edward Parker', 'Dave Landau']",0,0,0,0,0,0,8,0
6,The Bulwark Podcast,['Charlie Sykes'],0,0,1,0,0,0,0,0
7,Bannon`s War Room,['Stephen K. Bannon'],0,0,0,0,0,0,1,0
8,Breaking Points with Krystal and Saagar,"['Krystal Ball', 'Saagar Enjeti']",0,2,0,0,0,0,0,0
9,Deadline: White House,['Nicole Wallace'],0,1,0,0,0,0,0,0
10,Prosecuting Donald Trump,"['Andrew Weissman', 'Mary McCord']",0,0,0,0,2,0,0,0
11,Pod Save the World,"['Tommy Vietor', 'Ben Rhodes']",0,0,0,0,0,0,2,0
12,Verdict with Ted Cruz,"['Ted Cruz', 'Ben Ferguson', 'Michael Knowles', 'Liz Wheeler', 'Mike Lee']",2,1,0,0,0,0,2,0
13,Stay Tuned with Preet,['Preet Bharara'],0,0,0,0,0,0,1,0
14,The Clay Travis and Buck Sexton Show,"['Clay Travis', 'Buck Sexton']",0,2,2,2,0,0,0,0
15,The Victor Davis Hanson Show,"['Victor Davis Hanson', 'Jack Fowler']",0,0,0,0,2,0,0,0
16,Countdown with Keith Olbermann,['Keith Olbermann'],0,1,0,0,0,0,0,0
17,The Beat with Ari Melber,['Ari Melber'],0,1,1,0,0,0,0,0
18,Political Gabfest,"['David Plotz', 'Emily Bazelon', 'John Dickerson']",0,0,3,0,0,0,0,0
19,X22 Report,['Dave'],0,0,0,0,0,0,1,0
20,All In with Chris Hayes,['Chris Hayes'],0,1,0,0,0,0,0,0
21,Future of Freedom,['Scot Bertram'],0,1,0,1,0,0,0,0
22,Ruthless,"['Josh Holmes', 'Michael Duncan', 'Comfortably Smug', 'John Ashbrook']",0,0,0,0,0,0,4,0
23,The MeidasTouch Podcast,"['Ben Meiselas', 'Brett Meiselas', 'Jordy Meiselas']",0,0,0,0,0,0,3,0
24,Mea Culpa,['Michael Cohen'],0,0,0,0,0,1,1,0
25,The Lincoln Project,['Reed Galen'],0,0,0,0,0,1,1,0
26,Fast Politics with Molly Jong-Fast,['Molly Jong-Fast'],0,0,1,0,0,0,1,0
27,Tim Pool Daily Show,['Tim Pool'],0,0,0,0,0,0,1,0
28,The Five,"['Greg Gutfeld', 'Dana Perino', 'Jesse Watters', 'Jeanine Pirro', 'Jessica Tarlov', 'Harold Ford Jr.', 'Geraldo Rivera']",0,7,0,0,0,0,0,0
29,John Solomon Reports,['John Solomon'],0,0,1,0,0,0,1,0
30,NBC Nightly News with Lester Holt,['Lester Holt'],0,1,0,0,0,0,0,0
31,The Michael Steele Podcast,['Michael Steele'],1,0,0,0,0,0,0,0
32,The Wright Report,['Bryan Dean Wright'],0,0,0,0,0,0,1,0
33,Politics War Room with James Carville & Al Hunt,"['James Carville', 'Al Hunt']",0,2,0,0,0,2,0,0
34,The 11th Hour with Stephanie Ruhle,['Stephanie Ruhle'],0,1,0,0,0,0,0,0
35,The Warning with Steve Schmidt,['Steve Schmidt'],0,1,0,0,0,0,1,0
36,The Al Franken Podcast,['Al Franken'],1,0,0,0,0,0,0,0
37,Hacks On Tap,"['David Axelrod', 'Mike Murphy', 'Robert Gibbs']",0,0,0,0,0,3,0,0
38,Human Events Daily with Jack Posobiec,['Jack Posobiec'],0,0,0,0,0,0,1,0
39,The Remnant with Jonah Goldberg,['Jonah Goldberg'],0,0,1,0,0,0,0,0
40,The Next Level,"['Sarah Longwell', 'Tim Miller', 'Jonathan V. Last']",0,0,3,0,0,0,0,0
41,The Political Scene | The New Yorker,"['David Remnick', 'Tyler Foggatt', 'Susan B. Glasser', 'Jane Mayer', 'Evan Osnos']",0,0,5,0,0,0,0,0
42,Stay Free with Russell Brand,['Russell Brand'],0,0,0,0,0,0,1,0
43,System Update with Glenn Greenwald,['Glenn Greenwald'],0,0,1,0,0,0,0,0
44,Hodgetwins,"['Keith Hodge', 'Kevin Hodge']",0,0,0,0,0,0,2,0
45,Advisory Opinions,"['David French', 'Sarah Isgur']",0,0,2,0,0,0,0,0
46,#SistersInLaw,"['Joyce Vance', 'Jill Wine-Banks', 'Barb McQuade', 'Kimberly Atkins Stohr']",0,0,0,0,0,0,4,0
47,FiveThirtyEight Politics,"['Nate Silver', 'Galen Druke', 'Claire Malone']",0,0,3,0,0,1,0,0
48,The ReidOut with Joy Reid,['Joy Reid'],0,1,0,0,0,0,0,0
49,The Great America Show with Lou Dobbs,['Lou Dobbs'],0,1,0,0,0,0,0,0
50,The David Pakman Show,['David Pakman'],0,0,0,0,0,0,1,0
51,Jack,"['Allison Gill', 'Andrew McCabe']",0,0,0,0,0,0,2,0
52,The PoliticsGirl Podcast,['Leigh McGowan'],0,0,0,0,0,0,1,0
53,"""YOUR WELCOME"" with Michael Malice",['Michael Malice'],0,0,0,0,0,0,1,0
54,Cleanup on Aisle 45 with AG & Pete Strzok,"['Allison Gill', 'Pete Strozk']",0,0,0,0,0,0,2,0
55,No Lie with Brian Tyler Cohen,['Brian Tyler Cohen'],0,0,0,0,0,0,1,0
56,Know Your Enemy,"['Matthew Sitman', 'Sam Adler-Bell']",0,0,0,0,0,0,2,0
57,SGT Report’s The Propaganda Antidote,['Sean Turnbull'],0,0,0,0,0,0,1,0
58,The Dispatch Podcast,"['Sarah Isgur', 'Steve Hayes', 'Jonah Goldberg']",0,0,3,0,0,0,0,0
59,Brian Kilmeade Show,['Brian Kilmeade'],0,1,0,0,0,0,0,0
60,Talking Feds,['Harry Litman'],0,1,0,0,1,0,0,0
61,War on the Rocks,['Ryan Evans'],0,0,1,0,0,0,0,0
62,In the Litter Box,"['Jewels Jones', 'Catturd']",0,0,0,0,0,0,2,0
63,The Benny Show,['Benny Johnson'],0,0,0,0,0,0,1,0
64,POLITICO Playbook Daily Briefing,['Raghu Manavalan'],0,0,1,0,0,0,0,0
65,The Monica Crowley Podcast,['Monica Crowley'],0,0,0,0,0,1,0,0
66,The Liz Wheeler Show,['Liz Wheeler'],0,1,0,0,0,0,0,0
67,The Rest Is Politics,"['Alastair Campbell', 'Rory Stewart']",1,0,0,0,0,1,0,0
68,Opening Arguments,"['Andrew Torrez', 'Thomas Smith']",0,0,0,0,0,0,2,0
69,Debunked,['Ben Shapiro'],0,0,0,0,0,0,1,0
70,Firebrand with Matt Gaetz,['Matt Gaetz'],1,0,0,0,0,0,0,0
71,The Stew Peters Show,['Stew Peters'],0,0,0,0,0,0,1,0
72,The Weeds,['Jonquilyn Hill'],0,0,1,0,0,0,0,0
73,The Ben Ferguson Podcast,['Ben Ferguson'],0,1,0,0,0,0,0,0
74,The Majority Report with Sam Seder,"['Sam Seder', 'Emma Vigeland', 'Matt Lech', 'Janeane Garofalo', 'Jamie Peck', 'Michael J. Brooks']",0,0,0,0,0,0,6,0
75,Richard Syrett's Strange Planet,['Richard Syrett'],0,0,0,0,0,0,1,0
76,Straight White American Jesus,"['Bradley Onishi', 'Daniel Miller']",0,0,0,0,0,2,0,0
77,The Brian Lehrer Show,['Brian Lehrer'],0,1,0,0,0,0,0,0
78,Federalist Radio Hour,"['Emily Jashinski', 'Benjamin Domenech']",0,1,1,0,0,0,0,0
79,The Chris Cuomo Project,['Chris Cuomo'],0,1,0,0,0,0,0,0
80,Majority 54,"['Jason Kander', 'Ravi Gupta']",0,0,0,0,0,2,0,0
81,Hold These Truths with Dan Crenshaw,['Dan Crenshaw'],1,0,0,0,0,0,0,0
82,The Daily Punch,"['Anna Palmer', 'Jake Sherman']",0,0,2,0,0,0,0,0
83,The Foreign Affairs Interview,['Daniel Kurtz-Phelan'],0,0,1,0,0,0,0,0
84,Useful Idiots with Matt Taibbi and Katie Halper,"['Matt Taibii', 'Katie Halper']",0,0,2,0,0,0,0,0
85,Intercepted,"['Jeremy Scahill', 'Murtaza Hussain', 'Vanessa Gezari']",0,0,3,0,0,0,0,0
86,Hagmann Report,['Doug Hagmann'],0,0,0,0,0,0,1,0
87,Fox Across America w/ Jimmy Failla,['Jimmy Failla'],0,1,0,0,0,0,0,0
88,The Tom Woods Show,['Tom Woods'],0,0,1,0,0,0,1,0
89,The McCarthy Report,"['Rich Lowry', 'Andy McCarthy']",0,0,2,0,0,0,0,0
90,The Bob Cesca Show,['Bob Cesca'],0,1,1,0,0,0,0,0
91,The Kyle Seraphin Show,['Kyle Seraphin'],0,0,0,0,0,0,1,0
92,Judging Freedom,['Andrew P. Napolitano'],0,1,1,0,0,0,0,0
93,Radio Atlantic,"['Hanna Rosin', 'Matt Thompson', 'Alex Wagner', 'Jeffrey Goldberg']",0,0,4,0,0,0,0,0
94,Politicology,['Ron Steslow'],0,0,1,0,0,0,1,0
95,This Morning With Gordon Deal,"['Gordon Deal', 'Jennifer Kushinka', 'Mike Gavin']",0,3,0,0,0,0,0,0
96,Minion Death Cult,"['Alexander Edward', 'Tony Boswell']",0,0,0,0,0,0,2,0
97,The Charles C. W. Cooke Podcast,['Charles C. W. Cooke'],0,0,1,0,0,0,0,0
98,Checks and Balance from The Economist,"['John Prideaux', 'Charlotte Howard', 'Idrees Kahloon', 'Jon Fasman']",0,0,4,0,0,0,0,0
99,Newt's World,['Newt Gingrich'],0,0,0,0,0,1,0,0
