,podcasts,main_ideology,parent
0,Pod Save America,liberal,Crooked Media
1,Pod Save the UK,liberal,Crooked Media
2,The Run-Up,moderate,New York Times
3,Candace Owens,reactionary,Daily Wire
4,Let's Find Common Ground,moderate,Common Ground Committee
5,Louder with Crowder,reactionary,Blaze Podcast Network
6,The Bulwark Podcast,conservative,The Bulwark
7,Bannon`s War Room,reactionary,Real America's Voice
8,Breaking Points with Krystal and Saagar,radical,Independent
9,Deadline: White House,moderate,MSNBC
10,Prosecuting Donald Trump,liberal,MSNBC
11,Pod Save the World,liberal,Crooked Media
12,Verdict with Ted Cruz,reactionary,Premiere Networks
13,Stay Tuned with Preet,liberal,Caf�
14,The Clay Travis and Buck Sexton Show,reactionary,Premiere Networks
15,The Victor Davis Hanson Show,conservative,Independent
16,Countdown with Keith Olbermann,liberal,iHeartPodcasts
17,The Beat with Ari Melber,liberal,MSNBC
18,Political Gabfest,liberal,Slate
19,X22 Report,reactionary,Independent
20,All In with Chris Hayes,liberal,MSNBC
21,Future of Freedom,reactionary,America's Talking Network
22,Ruthless,reactionary,Independent
23,The MeidasTouch Podcast,liberal,Meidas Touch
24,Mea Culpa,conservative,Audio Up Media
25,The Lincoln Project,moderate,The Lincoln Project
26,Fast Politics with Molly Jong-Fast,liberal,iHeartPodcasts
27,Tim Pool Daily Show,reactionary,Independent
28,The Five,reactionary,FOX
29,John Solomon Reports,reactionary,Independent
30,NBC Nightly News with Lester Holt,moderate,MSNBC
31,The Michael Steele Podcast,conservative,Two Squared Media Productions
32,The Wright Report,conservative,Independent
33,Politics War Room with James Carville & Al Hunt,liberal,Politicon
34,The 11th Hour with Stephanie Ruhle,moderate,MSNBC
35,The Warning with Steve Schmidt,liberal,Independent
36,The Al Franken Podcast,liberal,District Productive
37,Hacks On Tap,liberal,Independent
38,Human Events Daily with Jack Posobiec,reactionary,Turning Point USA
39,The Remnant with Jonah Goldberg,conservative,The Dispatch
40,The Next Level,conservative,The Bulwark
41,The Political Scene | The New Yorker,liberal,The New Yorker
42,Stay Free with Russell Brand,reactionary,Independent
43,System Update with Glenn Greenwald,reactionary,Rumble
44,Hodgetwins,reactionary,Independent
45,Advisory Opinions,conservative,The Dispatch
46,#SistersInLaw,liberal,Politicon
47,FiveThirtyEight Politics,moderate,ABC News
48,The ReidOut with Joy Reid,liberal,MSNBC
49,The Great America Show with Lou Dobbs,reactionary,Independent
50,The David Pakman Show,radical,Independent
51,Jack,liberal,"Mueller, She Wrote"
52,The PoliticsGirl Podcast,liberal,Meidas Touch
53,"""YOUR WELCOME"" with Michael Malice",reactionary,PodcastOne
54,Cleanup on Aisle 45 with AG & Pete Strzok,liberal,MSW
55,No Lie with Brian Tyler Cohen,liberal,Independent
56,Know Your Enemy,radical,Independent
57,SGT Report’s The Propaganda Antidote,reactionary,Independent
58,The Dispatch Podcast,conservative,The Dispatch
59,Brian Kilmeade Show,reactionary,FOX
60,Talking Feds,liberal,LA Times
61,War on the Rocks,conservative,War on The Rocks
62,In the Litter Box,reactionary,Independent
63,The Benny Show,reactionary,Turning Point USA
64,POLITICO Playbook Daily Briefing,moderate,POLITICO
65,The Monica Crowley Podcast,reactionary,Crossover Media Group
66,The Liz Wheeler Show,reactionary,Soundfront
67,The Rest Is Politics,moderate,Goalhanger Podcasts
68,Opening Arguments,liberal,Independent
69,Debunked,reactionary,Daily Wire
70,Firebrand with Matt Gaetz,reactionary,Independent
71,The Stew Peters Show,reactionary,Independent
72,The Weeds,moderate,Vox
73,The Ben Ferguson Podcast,reactionary,iHeartPodcasts
74,The Majority Report with Sam Seder,radical,Independent
75,Richard Syrett's Strange Planet,reactionary,Independent
76,Straight White American Jesus,liberal,Independent
77,The Brian Lehrer Show,liberal,WNYC
78,Federalist Radio Hour,conservative,Radio America
79,The Chris Cuomo Project,moderate,Independent
80,Majority 54,liberal,Wonder Media Network
81,Hold These Truths with Dan Crenshaw,conservative,Independent
82,The Daily Punch,moderate,Punchbowl News
83,The Foreign Affairs Interview,moderate,Foreign Affairs Magazine
84,Useful Idiots with Matt Taibbi and Katie Halper,radical,Cumulus Podcast Network
85,Intercepted,radical,The Intercept
86,Hagmann Report,reactionary,Independent
87,Fox Across America w/ Jimmy Failla,reactionary,FOX
88,The Tom Woods Show,reactionary,Independent
89,The McCarthy Report,conservative,National Review
90,The Bob Cesca Show,liberal,Sexy Liberal Podcast Network
91,The Kyle Seraphin Show,reactionary,Independent
92,Judging Freedom,reactionary,Independent
93,Radio Atlantic,liberal,The Atlantic
94,Politicology,moderate,The Lincoln Project
95,This Morning With Gordon Deal,moderate,Compass Media Networks
96,Minion Death Cult,radical,Independent
97,The Charles C. W. Cooke Podcast,conservative,National Review
98,Checks and Balance from The Economist,moderate,The Economist
99,Newt's World,reactionary,Gingrich 360
100,American Radical,liberal,MSNBC
101,Economic Update with Richard D. Wolff,radical,Independent
102,Making the Argument with Nick Freitas,reactionary,Independent
103,Free The Economy,reactionary,Competitive Enterprise Institute
104,不明白播客,NULL,NULL
105,The Hugh Hewitt Show: Highly Concentrated,conservative,Salem Podcast Network
106,Playbook Deep Dive,moderate,POLITICO
107,Kash's Corner,reactionary,Epoch Times
108,The Buck Sexton Show,reactionary,Premiere Networks
109,Common Sense with Dan Carlin,moderate,Independent
110,Hold The Line Podcast,reactionary,Independent
111,Gaslit Nation with Andrea Chalupa and Sarah Kendzior,radical,Independent
112,Revolutionary Left Radio,radical,Independent
113,The Smerconish Podcast,moderate,Sirius XM
114,Volts,liberal,Independent
115,AMERICA OUT LOUD PODCAST NETWORK,reactionary,America Out Loud
116,American Prestige,radical,Independent
117,Rational Security,liberal,Lawfare
118,American Conservative University,reactionary,Indepdendent
119,The Betches Sup Podcast,liberal,Betches Media
120,GZERO World with Ian Bremmer,moderate,GZERO World
121,"Law Talk With Epstein, Yoo & Senik",conservative,The Hoover Institution
122,KQED's Forum,moderate,KQED
123,Beg to Differ with Mona Charen,conservative,The Bulwark
124,Lever Time,radical,The Lever
125,Radio Tragedy رادیو تراژدی,NULL,Hogoyeek Team
126,The Suburban Women Problem,liberal,Red Wine and Blue
127,The Mel K Show,reactionary,Indepdendent
128,The Focus Group Podcast,conservative,The Focus Group
129,The Aaron Rupar Show,liberal,Independent
130,MTG,reactionary,Independent
131,Bad Faith,radical,Independent
132,Lost Debate,liberal,The Branch
133,The Reason Roundtable,conservative,Reason Magazine
134,The Pete Quinones Show,reactionary,Independent
